"CityId","CountryID","RegionID","City","Latitude","Longitude","TimeZone","DmaId","Code"
"44326","14","3","Balnagowan","-21.11759949","149.022995","+10:00","0","BALN"
"47723","14","3","BAMAGA","-10.8906002","142.39300537","+10:00","0","BAMA"
"47666","14","3","BAMBOO","-16.37730026","145.38699341","+10:00","0","BAMB"
"44327","14","3","Banana","-24.47019958","150.12800598","+10:00","0","BANA"
"44328","14","3","Banks Creek","-27.42410088","152.70599365","+10:00","0","BCRK"
"44329","14","3","Banks Pocket","-26.1529007","152.67199707","+10:00","0","BPOC"
"44330","14","3","Banksia Beach","-27.04520035","153.14100647","+10:00","0","BBEA"
"44331","14","3","Bannockburn","-27.75390053","153.19200134","+10:00","0","BANN"
"44332","14","3","Banyo","-27.37579918","153.07600403","+10:00","0","BANY"
"44333","14","3","Bapaume","-28.56640053","151.82899475","+10:00","0","BAPA"
"44334","14","3","Baralaba","-24.18110085","149.81100464","+10:00","0","BARA"
"44335","14","3","Barambah","-26.32519913","152.16700745","+10:00","0","BARM"
"44336","14","3","Barcaldine","-23.55200005","145.28900146","+10:00","0","BARC"
"44337","14","3","Bardon","-27.46349907","152.97999573","+10:00","0","BARD"
"44338","14","3","Bargara","-24.81489944","152.46299744","+10:00","0","BARG"
"44339","14","3","Barker Creek Flat","-26.64819908","151.94599915","+10:00","0","BCFL"
"44340","14","3","Barlil","-26.2045002","151.88600159","+10:00","0","BARL"
"44341","14","3","Barney Point","-23.85680008","151.27099609","+10:00","0","BPOI"
"44342","14","3","Barney View","-28.2609005","152.78100586","+10:00","0","BVIE"
"44343","14","3","Barramornie","-27.01329994","150.06100464","+10:00","0","BARR"
"47645","14","3","BARRINE","-17.23200035","145.6210022","+10:00","0","BARI"
"47734","14","3","BARRON","-16.87389946","145.69799805","+10:00","0","BARO"
"47522","14","3","BARRON GORGE","-16.86759949","145.67500305","+10:00","0","BGOR"
"47646","14","3","BARWIDGI","-17.64769936","144.63999939","+10:00","0","BARW"
"47551","14","3","BASILISK","-17.66020012","145.99200439","+10:00","0","BASI"
"44344","14","3","Basin Pocket","-27.60110092","152.772995","+10:00","0","BPOK"
"44345","14","3","Battery Hill","-26.77759933","153.13499451","+10:00","0","BHIZ"
"44346","14","3","Bauple","-25.8132","152.61799622","+10:00","0","BAUP"
"44347","14","3","Bauple Forest","-25.87800026","152.65499878","+10:00","0","BFOR"
"44348","14","3","Bayrick","-25.47909927","146.01199341","+10:00","0","BAYR"
"47513","14","3","BAYVIEW HEIGHTS","-16.95829964","145.73199463","+10:00","0","BHEG"
"47477","14","3","BEACH HOLM","-19.2336998","146.65400696","+10:00","0","BHOL"
"44349","14","3","Beachmere","-27.1291008","153.05200195","+10:00","0","BEAC"
"44350","14","3","Beaconsfield","-21.09230042","149.17500305","+10:00","0","BEAO"
"47775","14","3","BEATRICE","-17.54210091","145.60600281","+10:00","0","BEAT"
"44351","14","3","Beaudesert","-27.98629951","152.9960022","+10:00","0","BEAU"
"44352","14","3","Beaver Rock","-25.50979996","152.80400085","+10:00","0","BROC"
"44353","14","3","Beebo","-28.72270012","150.96699524","+10:00","0","BEEB"
"44354","14","3","Beecher","-23.89559937","151.20399475","+10:00","0","BEEC"
"44355","14","3","Beechmont","-28.12579918","153.18800354","+10:00","0","BEEH"
"44356","14","3","Beelbi Creek","-25.29260063","152.6269989","+10:00","0","BCRZ"
"44357","14","3","Beenaam Valley","-26.19179916","152.81900024","+10:00","0","BVAL"
"44358","14","3","Beenleigh","-27.71619987","153.20199585","+10:00","0","BEEN"
"44359","14","3","Beerburrum","-26.95260048","152.96400452","+10:00","0","BEER"
"44360","14","3","Beerwah","-26.85700035","152.95700073","+10:00","0","BEEW"
"44361","14","3","Begonia","-27.50519943","148.31599426","+10:00","0","BEGO"
"44362","14","3","Beilba","-25.53079987","148.77099609","+10:00","0","BEIL"
"47435","14","3","BELGIAN GARDENS","-19.24530029","146.79899597","+10:00","0","BGAR"
"44363","14","3","Belivah","-27.75729942","153.18600464","+10:00","0","BELI"
"44364","14","3","Bell","-26.93250084","151.44900513","+10:00","0","BELL"
"44365","14","3","Bella Creek","-26.47870064","152.56599426","+10:00","0","BCRY"
"44366","14","3","Bellara","-27.06310081","153.15299988","+10:00","0","BELA"
"44367","14","3","Bellbird Park","-27.6371994","152.88299561","+10:00","0","BPAR"
"44368","14","3","Bellbowrie","-27.56200027","152.88699341","+10:00","0","BELB"
